127.0.0.1 - - [03/Dec/2021:21:53:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/img/%EB%A7%88%EB%9D%BC%EC%83%B9%EA%B6%88.png HTTP/1.1" 200 1077261
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/img/donuts.jpg HTTP/1.1" 200 30667
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/img/Lemongrab.png HTTP/1.1" 200 156262
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/img/%EB%B0%80%ED%91%80%EC%9C%A0%EB%82%98%EB%B2%A0.png HTTP/1.1" 200 1809637
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/img/%EC%97%AC%EC%9A%B03.png HTTP/1.1" 200 687935
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:24 +0900] "GET /project-oneyo/assets/js/mealkit/list.js HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:15:25 +0900] "GET /project-oneyo/assets/img/oneyo_fav.ico HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:17:19 +0900] "GET /project-oneyo/assets/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:17:19 +0900] "GET /project-oneyo/assets/css/bootstrap.min.css.map HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:18:42 +0900] "GET /project-oneyo/assets/css/bootstrap.min.css.map HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:18:42 +0900] "GET /project-oneyo/assets/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:23 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34317
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:40 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:42 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:45 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:54 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:57 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:58 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:20:58 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:07 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:25 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:30 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:39 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:41 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:42 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:43 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:21:45 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34336
